Variable,Frequency_Index,Period_Days,Power_Spectral_Density,Log10_Period_Days,Log10_Power
CAPE,0,15706,2512207533,4.196065593,9.400055514
CAPE,1,7853,1135433484,3.895035597,9.055161697
CAPE,2,5235.333333,269479692.9,3.718944338,8.430526044
CAPE,3,3926.5,761344107.8,3.594005602,8.881580991
CAPE,4,3141.2,15297206.54,3.497095589,7.18461213
CAPE,5,2617.666667,2620118251,3.417914343,9.418320892
CAPE,6,2243.714286,3003896424,3.350967553,9.477684954
CAPE,7,1963.25,1857792649,3.292975606,9.26899724
CAPE,8,1745.111111,1750919198,3.241823084,9.243266104
CAPE,9,1570.6,74864752.41,3.196065593,7.874277393
CAPE,10,1427.818182,940099544.6,3.154672908,8.973173842
CAPE,11,1308.833333,1821725915,3.116884347,9.260483036
CAPE,12,1208.153846,588566363.2,3.082122241,8.769795438
CAPE,13,1121.857143,534354389.3,3.049937557,8.727829381
CAPE,14,1047.066667,847082786.9,3.019974334,8.927925857
CAPE,15,981.625,342192548.5,2.99194561,8.534270548
CAPE,16,923.8823529,1103569880,2.965616672,9.042799839
CAPE,17,872.5555556,994492159.8,2.940793088,8.997601364
CAPE,18,826.6315789,112055426.8,2.917311992,8.049432894
CAPE,19,785.3,577976922.3,2.895035597,8.761910498
CAPE,20,747.9047619,428799280.7,2.873846298,8.632254048
CAPE,21,713.9090909,865787528.5,2.853642912,8.937411326
CAPE,22,682.8695652,417614591,2.834337757,8.620775664
CAPE,23,654.4166667,595486905.7,2.815854351,8.774872216
CAPE,24,628.24,650340833,2.798125584,8.813141023
CAPE,25,604.0769231,39036632.39,2.781092245,7.591472345
CAPE,26,581.7037037,209602166.9,2.764701829,8.321395768
CAPE,27,560.9285714,1156642855,2.748907562,9.063199279
CAPE,28,541.5862069,450107618.4,2.733667595,8.653316364
CAPE,29,523.5333333,45332474.51,2.718944338,7.656409426
CAPE,30,506.6451613,362003544.8,2.704703899,8.558712823
CAPE,31,490.8125,117419794.3,2.690915615,8.069741315
CAPE,32,475.9393939,920201048.7,2.677551653,8.963882724
CAPE,33,461.9411765,2064284221,2.664586676,9.314769493
CAPE,34,448.7428571,1545066919,2.651997549,9.188947294
CAPE,35,436.2777778,1358980173,2.639763092,9.133213121
CAPE,36,424.4864865,647699860.3,2.627863869,8.811373803
CAPE,37,413.3157895,72234454.28,2.616281996,7.858744396
CAPE,38,402.7179487,45042959.92,2.605000986,7.653626922
CAPE,39,392.65,181221146.1,2.594005602,8.258208873
CAPE,40,383.0731707,1160508574,2.583281736,9.064648353
CAPE,41,373.952381,245207153.9,2.572816303,8.389533137
CAPE,42,365.255814,3411104333,2.562597138,9.532895003
CAPE,43,356.9545455,3306295455,2.552612917,9.51934166
CAPE,44,349.0222222,158035247.1,2.542853079,8.19875396
CAPE,45,341.4347826,182043029.2,2.533307761,8.260174054
CAPE,46,334.1702128,310207559.2,2.523967735,8.491652377
CAPE,47,327.2083333,1038692276,2.514824356,9.016486902
CAPE,48,320.5306122,423164601.9,2.505869513,8.626509331
CAPE,49,314.12,56606027.18,2.497095589,7.752862676
CAPE,50,307.9607843,15534537.53,2.488495417,7.191298329
CAPE,51,302.0384615,87771621.7,2.480062249,7.943354123
CAPE,52,296.3396226,302154749,2.471789724,8.480229425
CAPE,53,290.8518519,39011386.43,2.463671833,7.591191385
CAPE,54,285.5636364,196463694.9,2.455702904,8.293282308
CAPE,55,280.4642857,346189566.4,2.447877566,8.539313975
CAPE,56,275.5438596,215539805,2.440190737,8.333527486
CAPE,57,270.7931034,511192252.7,2.4326376,8.708584263
CAPE,58,266.2033898,251421891.8,2.425213581,8.40040309
CAPE,59,261.7666667,528877361.8,2.417914343,8.723354978
CAPE,60,257.4754098,1120559260,2.410735758,9.049434829
CAPE,61,253.3225806,1215372985,2.403673904,9.084709579
CAPE,62,249.3015873,632581173.9,2.396725044,8.801116263
CAPE,63,245.40625,128419454.5,2.389885619,8.108630821
CAPE,64,241.6307692,301554823.9,2.383152236,8.47936628
CAPE,65,237.969697,474994137.5,2.376521658,8.67668825
CAPE,66,234.4179104,390751376.4,2.36999079,8.591900517
CAPE,67,230.9705882,414798885.1,2.36355668,8.61783758
CAPE,68,227.6231884,193902677.6,2.357216502,8.287583806
CAPE,69,224.3714286,64185927.8,2.350967553,7.807439823
CAPE,70,221.2112676,327929049.1,2.344807244,8.51577989
CAPE,71,218.1388889,751355600.7,2.338733097,8.875845528
CAPE,72,215.1506849,508309898.2,2.332742733,8.706128567
CAPE,73,212.2432432,314827354.3,2.326833873,8.49807246
CAPE,74,209.4133333,149056188.5,2.32100433,8.173350012
CAPE,75,206.6578947,255423365.3,2.315252001,8.407260623
CAPE,76,203.974026,477827773.7,2.309574868,8.67927139
CAPE,77,201.3589744,51830107.68,2.30397099,7.714582111
CAPE,78,198.8101266,84166534.14,2.298438502,7.925139444
CAPE,79,196.325,120819420.7,2.292975606,8.082136749
CAPE,80,193.9012346,271797784.1,2.287580574,8.434245912
CAPE,81,191.5365854,229499641,2.282251741,8.36078201
